,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
0,Problems___Don Diablo,2021-07-10 04:52,Don Diablo,Problems,9972,2021-07-10 04:52:00,0.721,0.768,3.0,-4.371,1.0,0.0685,0.21,0.00843,0.262,0.468,124.076,audio_features,2dyrLrVopYKGc3H9oOYSmZ,spotify:track:2dyrLrVopYKGc3H9oOYSmZ,https://api.spotify.com/v1/tracks/2dyrLrVopYKGc3H9oOYSmZ,https://api.spotify.com/v1/audio-analysis/2dyrLrVopYKGc3H9oOYSmZ,179032.0,4.0,Problems,6L2C3wz8KVARtC4wqrDJTG
1,Back In Time___Marshmello,2021-07-10 04:56,Marshmello,Back In Time,160877,2021-07-10 04:56:00,0.783,0.824,1.0,-4.558,1.0,0.0598,0.0108,0.000795,0.0748,0.413,139.998,audio_features,23YTJTopRwkkeX6QGsEaKc,spotify:track:23YTJTopRwkkeX6QGsEaKc,https://api.spotify.com/v1/tracks/23YTJTopRwkkeX6QGsEaKc,https://api.spotify.com/v1/audio-analysis/23YTJTopRwkkeX6QGsEaKc,160877.0,4.0,Shockwave,6yXPyhVxt3PHBwkinPFn6I
2,Head & Heart (feat. MNEK)___Joel Corry,2021-07-10 05:00,Joel Corry,Head & Heart (feat. MNEK),166028,2021-07-10 05:00:00,0.734,0.874,8.0,-3.158,1.0,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028.0,4.0,Head & Heart (feat. MNEK),5glfCPECXSHzidU6exW8wO
3,Down For The Ride___ItaloBrothers,2021-07-10 05:04,ItaloBrothers,Down For The Ride,160593,2021-07-10 05:04:00,0.705,0.73,4.0,-4.778,0.0,0.0894,0.171,2.42e-05,0.294,0.616,125.975,audio_features,0L8NzGlH4nmnbOUSg4gO72,spotify:track:0L8NzGlH4nmnbOUSg4gO72,https://api.spotify.com/v1/tracks/0L8NzGlH4nmnbOUSg4gO72,https://api.spotify.com/v1/audio-analysis/0L8NzGlH4nmnbOUSg4gO72,160594.0,4.0,Down For The Ride,54h5f6arTVEerecJIR9g84
4,Take Control___KREAM,2021-07-10 05:19,KREAM,Take Control,27041,2021-07-10 05:19:00,0.676,0.9,6.0,-6.469,1.0,0.0881,0.0105,0.0136,0.0942,0.482,122.984,audio_features,4NPkQtN5w0T4ju8T6mYVsJ,spotify:track:4NPkQtN5w0T4ju8T6mYVsJ,https://api.spotify.com/v1/tracks/4NPkQtN5w0T4ju8T6mYVsJ,https://api.spotify.com/v1/audio-analysis/4NPkQtN5w0T4ju8T6mYVsJ,167846.0,4.0,Take Control,5Lm6ONdbKjUFkM4h4Stgu7
5,Losin' Sleep___David Archuleta,2021-07-12 23:05,David Archuleta,Losin' Sleep,162407,2021-07-12 23:05:00,0.866,0.498,1.0,-7.022,0.0,0.0689,0.377,0.000168,0.146,0.423,143.967,audio_features,1cRG2cmtDHH98FhL5vIDHk,spotify:track:1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/tracks/1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/audio-analysis/1cRG2cmtDHH98FhL5vIDHk,163873.0,4.0,Losin' Sleep,0ciBkpOLIq8b2TWkLTygp2
6,Something 'Bout Love___David Archuleta,2021-07-12 23:10,David Archuleta,Something 'Bout Love,262266,2021-07-12 23:10:00,0.587,0.723,5.0,-4.127,1.0,0.0375,0.000253,0.0,0.167,0.423,120.041,audio_features,25pU0SsW1StdsEQbsFC7qP,spotify:track:25pU0SsW1StdsEQbsFC7qP,https://api.spotify.com/v1/tracks/25pU0SsW1StdsEQbsFC7qP,https://api.spotify.com/v1/audio-analysis/25pU0SsW1StdsEQbsFC7qP,262267.0,4.0,The Other Side of Down,6rdS6blx059zgT2vEtRnpI
7,I Will Go and Do (2020 Youth Theme Song)___David Archuleta,2021-07-12 23:15,David Archuleta,I Will Go and Do (2020 Youth Theme Song),236677,2021-07-12 23:15:00,0.625,0.261,9.0,-7.66,1.0,0.0265,0.756,0.0,0.13,0.233,74.013,audio_features,01nWmkzHrNKfURDi4xF3bu,spotify:track:01nWmkzHrNKfURDi4xF3bu,https://api.spotify.com/v1/tracks/01nWmkzHrNKfURDi4xF3bu,https://api.spotify.com/v1/audio-analysis/01nWmkzHrNKfURDi4xF3bu,236957.0,4.0,I Will Go and Do,7E2MS1gyfUNZL3tGyVSnRM
8,My Little Prayer___David Archuleta,2021-07-12 23:16,David Archuleta,My Little Prayer,58447,2021-07-12 23:16:00,0.396,0.224,8.0,-10.534,1.0,0.0295,0.833,2.72e-06,0.118,0.244,69.271,audio_features,7qLPynt52N0NzHoJEpgI3V,spotify:track:7qLPynt52N0NzHoJEpgI3V,https://api.spotify.com/v1/tracks/7qLPynt52N0NzHoJEpgI3V,https://api.spotify.com/v1/audio-analysis/7qLPynt52N0NzHoJEpgI3V,194565.0,3.0,My Little Prayer,0uybtR6a71zgradJmtwBvz
9,Losin' Sleep___David Archuleta,2021-07-12 23:16,David Archuleta,Losin' Sleep,17760,2021-07-12 23:16:00,0.866,0.498,1.0,-7.022,0.0,0.0689,0.377,0.000168,0.146,0.423,143.967,audio_features,1cRG2cmtDHH98FhL5vIDHk,spotify:track:1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/tracks/1cRG2cmtDHH98FhL5vIDHk,https://api.spotify.com/v1/audio-analysis/1cRG2cmtDHH98FhL5vIDHk,163873.0,4.0,Losin' Sleep,0ciBkpOLIq8b2TWkLTygp2
