,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID,track Number
Make Me Feel Good___Belters Only,0.773,0.74,7.0,-8.169,0.0,0.0386,0.0627,0.00183,0.0829,0.504,124.014,audio_features,4CUX44NA1CPEzd0ibMLQsL,spotify:track:4CUX44NA1CPEzd0ibMLQsL,https://api.spotify.com/v1/tracks/4CUX44NA1CPEzd0ibMLQsL,https://api.spotify.com/v1/audio-analysis/4CUX44NA1CPEzd0ibMLQsL,197473.0,4.0,Make Me Feel Good,2YNIYdATkvFpTKZexocmEi,1
Hurricane___Kanye West,0.587,0.561,0.0,-6.569,1.0,0.146,0.0466,0.0,0.109,0.351,80.009,audio_features,6Hfu9sc7jvv6coyy2LlzBF,spotify:track:6Hfu9sc7jvv6coyy2LlzBF,https://api.spotify.com/v1/tracks/6Hfu9sc7jvv6coyy2LlzBF,https://api.spotify.com/v1/audio-analysis/6Hfu9sc7jvv6coyy2LlzBF,243187.0,4.0,Donda,5CnpZV3q5BcESefcB3WJmz,2
Unity___TheFatRat,0.707,0.88,4.0,-3.211,0.0,0.0317,0.00424,0.0379,0.0534,0.565,105.003,audio_features,47qYqGPgMTh3l1PRKBHEfI,spotify:track:47qYqGPgMTh3l1PRKBHEfI,https://api.spotify.com/v1/tracks/47qYqGPgMTh3l1PRKBHEfI,https://api.spotify.com/v1/audio-analysis/47qYqGPgMTh3l1PRKBHEfI,249286.0,4.0,Unity,1cxmFr3tma40mHVD1NsLAV,3
Butter___BTS,0.759,0.459,8.0,-5.187,1.0,0.0948,0.00323,0.0,0.0788,0.695,109.997,audio_features,6jjYDGxVJsWS0a5wlVF5vS,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/tracks/6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/audio-analysis/6jjYDGxVJsWS0a5wlVF5vS,164952.0,4.0,Proof,6al2VdKbb6FIz9d7lU7WRB,4
Altitude___trxxshed,0.597,0.0702,11.0,-23.245,1.0,0.071,0.961,0.951,0.101,0.0386,139.991,audio_features,4JWqkMaESfFtA3jTttafts,spotify:track:4JWqkMaESfFtA3jTttafts,https://api.spotify.com/v1/tracks/4JWqkMaESfFtA3jTttafts,https://api.spotify.com/v1/audio-analysis/4JWqkMaESfFtA3jTttafts,141795.0,4.0,Retro Colors,5NnfXFH0dJv7dO3uvmu2Rz,5
Glow___DLJ,0.498,0.179,2.0,-15.148,1.0,0.0303,0.694,0.829,0.108,0.0759,118.185,audio_features,5KnML8Brn9wRMgWC2MAhuB,spotify:track:5KnML8Brn9wRMgWC2MAhuB,https://api.spotify.com/v1/tracks/5KnML8Brn9wRMgWC2MAhuB,https://api.spotify.com/v1/audio-analysis/5KnML8Brn9wRMgWC2MAhuB,168000.0,4.0,After Life,6tAnYBib3ol7bjjqwI4d2u,6
Luar___colours in the dark,0.628,0.197,8.0,-17.944,0.0,0.0367,0.942,0.88,0.0803,0.201,139.865,audio_features,3EieOPlHfQsgfEWbExuS9K,spotify:track:3EieOPlHfQsgfEWbExuS9K,https://api.spotify.com/v1/tracks/3EieOPlHfQsgfEWbExuS9K,https://api.spotify.com/v1/audio-analysis/3EieOPlHfQsgfEWbExuS9K,137143.0,4.0,Luar,2ksqtk5YsPD7f4gtg3F3Uv,7
The Spectre___Alan Walker,0.654,0.711,1.0,-7.437,0.0,0.0383,0.0214,0.00191,0.0903,0.198,127.957,audio_features,2DGa7iaidT5s0qnINlwMjJ,spotify:track:2DGa7iaidT5s0qnINlwMjJ,https://api.spotify.com/v1/tracks/2DGa7iaidT5s0qnINlwMjJ,https://api.spotify.com/v1/audio-analysis/2DGa7iaidT5s0qnINlwMjJ,193788.0,4.0,The Spectre,1IKRstg3XuCuLWeCg3oaAW,8
Starboy___The Weeknd,0.679,0.587,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453.0,4.0,Starboy,2ODvWsOgouMbaA5xf0RkJe,9
Escape - Single Version___Andreas Johnson,0.506,0.946,4.0,-2.408,1.0,0.139,0.0178,0.0,0.447,0.333,134.009,audio_features,0pNvVlrgNpsIvRIv06FjQf,spotify:track:0pNvVlrgNpsIvRIv06FjQf,https://api.spotify.com/v1/tracks/0pNvVlrgNpsIvRIv06FjQf,https://api.spotify.com/v1/audio-analysis/0pNvVlrgNpsIvRIv06FjQf,227040.0,4.0,Escape,39DMMaxrQG23n44jMV8iWz,10
Vossi Bop___Stormzy,0.682,0.653,8.0,-6.062,1.0,0.339,0.13,0.00116,0.129,0.428,188.115,audio_features,44ZJ4hLD5onikKsVLQaILr,spotify:track:44ZJ4hLD5onikKsVLQaILr,https://api.spotify.com/v1/tracks/44ZJ4hLD5onikKsVLQaILr,https://api.spotify.com/v1/audio-analysis/44ZJ4hLD5onikKsVLQaILr,196267.0,4.0,Vossi Bop,1feZ7dUgDquoQRddxlI5BH,11
Time Lapse___TheFatRat,0.64,0.846,11.0,-5.715,0.0,0.108,0.00379,0.521,0.223,0.558,126.995,audio_features,3v8aPisqoGRZEwwf2rCeXQ,spotify:track:3v8aPisqoGRZEwwf2rCeXQ,https://api.spotify.com/v1/tracks/3v8aPisqoGRZEwwf2rCeXQ,https://api.spotify.com/v1/audio-analysis/3v8aPisqoGRZEwwf2rCeXQ,185315.0,4.0,Time Lapse,3jcZqlAXX3LVDO4PiQ4mpO,12
Mojave Backyard___HM Surf,0.736,0.059,2.0,-23.716,1.0,0.0554,0.849,0.941,0.114,0.58,82.021,audio_features,4AJv7NWAhvxAXEoQagzHn4,spotify:track:4AJv7NWAhvxAXEoQagzHn4,https://api.spotify.com/v1/tracks/4AJv7NWAhvxAXEoQagzHn4,https://api.spotify.com/v1/audio-analysis/4AJv7NWAhvxAXEoQagzHn4,120732.0,4.0,Pool Days,6aAhMy4SJgRHQyWB4dvv1p,13
Childlike Wonder___Tibeauthetraveler,0.7,0.218,2.0,-12.003,1.0,0.0299,0.786,0.802,0.144,0.076,110.017,audio_features,6vBc1bG8snOXRHHbyCXvIB,spotify:track:6vBc1bG8snOXRHHbyCXvIB,https://api.spotify.com/v1/tracks/6vBc1bG8snOXRHHbyCXvIB,https://api.spotify.com/v1/audio-analysis/6vBc1bG8snOXRHHbyCXvIB,148496.0,4.0,Scenery,1F85ZcndEEfLMCrABfeZ9t,14
